state,sex,age_band,year,metric,value,source,sheet
New South Wales,Male,18-21,2019,ed_on_time_pct,72.6,waiting_time_state_raw,
New South Wales,Male,18-21,2020,avg_wait_days,36.02,waiting_time_state_raw,
New South Wales,Male,18-21,2020,ed_on_time_pct,71.8,waiting_time_state_raw,
New South Wales,Male,18-21,2021,avg_wait_days,34.34,waiting_time_state_raw,
New South Wales,Male,18-21,2021,ed_on_time_pct,71.7,waiting_time_state_raw,
New South Wales,Male,18-21,2022,avg_wait_days,37.2,waiting_time_state_raw,
New South Wales,Male,18-21,2022,ed_on_time_pct,71.3,waiting_time_state_raw,
New South Wales,Male,18-21,2023,avg_wait_days,34.43,waiting_time_state_raw,
New South Wales,Male,18-21,2023,ed_on_time_pct,73.2,waiting_time_state_raw,
New South Wales,Male,18-21,2024,avg_wait_days,33.78,waiting_time_state_raw,
New South Wales,Male,18-21,2024,ed_on_time_pct,73.9,waiting_time_state_raw,
New South Wales,Male,22-24,2019,avg_wait_days,27.91,waiting_time_state_raw,
New South Wales,Male,22-24,2019,ed_on_time_pct,75.8,waiting_time_state_raw,
New South Wales,Male,22-24,2020,avg_wait_days,31.01,waiting_time_state_raw,
New South Wales,Male,22-24,2020,ed_on_time_pct,72.9,waiting_time_state_raw,
New South Wales,Male,22-24,2021,avg_wait_days,33.72,waiting_time_state_raw,
New South Wales,Male,22-24,2021,ed_on_time_pct,73.0,waiting_time_state_raw,
New South Wales,Male,22-24,2022,avg_wait_days,30.91,waiting_time_state_raw,
New South Wales,Male,22-24,2022,ed_on_time_pct,68.6,waiting_time_state_raw,
New South Wales,Male,22-24,2023,avg_wait_days,26.78,waiting_time_state_raw,
New South Wales,Male,22-24,2023,ed_on_time_pct,73.1,waiting_time_state_raw,
New South Wales,Male,22-24,2024,avg_wait_days,32.31,waiting_time_state_raw,
New South Wales,Male,22-24,2024,ed_on_time_pct,72.4,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2019,avg_wait_days,20.85,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2019,ed_on_time_pct,75.3,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2020,avg_wait_days,14.49,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2020,ed_on_time_pct,72.0,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2021,avg_wait_days,18.29,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2021,ed_on_time_pct,70.9,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2022,avg_wait_days,20.92,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2022,ed_on_time_pct,75.4,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2023,avg_wait_days,20.1,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2023,ed_on_time_pct,71.4,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2024,avg_wait_days,20.05,waiting_time_state_raw,
New South Wales,Female,5-11 (Primary),2024,ed_on_time_pct,68.4,waiting_time_state_raw,
New South Wales,Female,12-14,2019,avg_wait_days,19.91,waiting_time_state_raw,
New South Wales,Female,12-14,2019,ed_on_time_pct,73.7,waiting_time_state_raw,
New South Wales,Female,12-14,2020,avg_wait_days,23.65,waiting_time_state_raw,
New South Wales,Female,12-14,2020,ed_on_time_pct,73.3,waiting_time_state_raw,
New South Wales,Female,12-14,2021,avg_wait_days,18.43,waiting_time_state_raw,
New South Wales,Female,12-14,2021,ed_on_time_pct,71.7,waiting_time_state_raw,
New South Wales,Female,12-14,2022,avg_wait_days,20.05,waiting_time_state_raw,
New South Wales,Female,12-14,2022,ed_on_time_pct,70.8,waiting_time_state_raw,
New South Wales,Female,12-14,2023,avg_wait_days,18.68,waiting_time_state_raw,
New South Wales,Female,12-14,2023,ed_on_time_pct,71.0,waiting_time_state_raw,
New South Wales,Female,12-14,2024,avg_wait_days,21.11,waiting_time_state_raw,
New South Wales,Female,12-14,2024,ed_on_time_pct,73.0,waiting_time_state_raw,
New South Wales,Female,15-17,2019,avg_wait_days,30.69,waiting_time_state_raw,
New South Wales,Female,15-17,2019,ed_on_time_pct,74.2,waiting_time_state_raw,
New South Wales,Female,15-17,2020,avg_wait_days,27.01,waiting_time_state_raw,
New South Wales,Female,15-17,2020,ed_on_time_pct,75.4,waiting_time_state_raw,
New South Wales,Female,15-17,2021,avg_wait_days,31.69,waiting_time_state_raw,
New South Wales,Female,15-17,2021,ed_on_time_pct,74.1,waiting_time_state_raw,
New South Wales,Female,15-17,2022,avg_wait_days,30.74,waiting_time_state_raw,
New South Wales,Female,15-17,2022,ed_on_time_pct,75.4,waiting_time_state_raw,
New South Wales,Female,15-17,2023,avg_wait_days,22.4,waiting_time_state_raw,
New South Wales,Female,15-17,2023,ed_on_time_pct,74.3,waiting_time_state_raw,
New South Wales,Female,15-17,2024,avg_wait_days,24.99,waiting_time_state_raw,
New South Wales,Female,15-17,2024,ed_on_time_pct,70.8,waiting_time_state_raw,
New South Wales,Female,18-21,2019,avg_wait_days,38.37,waiting_time_state_raw,
New South Wales,Female,18-21,2019,ed_on_time_pct,75.6,waiting_time_state_raw,
New South Wales,Female,18-21,2020,avg_wait_days,29.46,waiting_time_state_raw,
New South Wales,Female,18-21,2020,ed_on_time_pct,74.6,waiting_time_state_raw,
New South Wales,Female,18-21,2021,avg_wait_days,28.39,waiting_time_state_raw,
New South Wales,Female,18-21,2021,ed_on_time_pct,71.8,waiting_time_state_raw,
New South Wales,Female,18-21,2022,avg_wait_days,38.59,waiting_time_state_raw,
New South Wales,Female,18-21,2022,ed_on_time_pct,71.7,waiting_time_state_raw,
New South Wales,Female,18-21,2023,avg_wait_days,35.67,waiting_time_state_raw,
New South Wales,Female,18-21,2023,ed_on_time_pct,73.2,waiting_time_state_raw,
New South Wales,Female,18-21,2024,avg_wait_days,38.71,waiting_time_state_raw,
New South Wales,Female,18-21,2024,ed_on_time_pct,72.8,waiting_time_state_raw,
New South Wales,Female,22-24,2019,avg_wait_days,25.18,waiting_time_state_raw,
New South Wales,Female,22-24,2019,ed_on_time_pct,73.4,waiting_time_state_raw,
New South Wales,Female,22-24,2020,avg_wait_days,30.9,waiting_time_state_raw,
New South Wales,Female,22-24,2020,ed_on_time_pct,70.1,waiting_time_state_raw,
New South Wales,Female,22-24,2021,avg_wait_days,31.88,waiting_time_state_raw,
New South Wales,Female,22-24,2021,ed_on_time_pct,73.6,waiting_time_state_raw,
New South Wales,Female,22-24,2022,avg_wait_days,35.48,waiting_time_state_raw,
New South Wales,Female,22-24,2022,ed_on_time_pct,75.4,waiting_time_state_raw,
New South Wales,Female,22-24,2023,avg_wait_days,26.7,waiting_time_state_raw,
New South Wales,Female,22-24,2023,ed_on_time_pct,69.7,waiting_time_state_raw,
New South Wales,Female,22-24,2024,avg_wait_days,33.36,waiting_time_state_raw,
New South Wales,Female,22-24,2024,ed_on_time_pct,68.4,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2019,avg_wait_days,16.49,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2019,ed_on_time_pct,74.5,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2020,avg_wait_days,16.09,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2020,ed_on_time_pct,75.5,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2021,avg_wait_days,21.19,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2021,ed_on_time_pct,69.4,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2022,avg_wait_days,18.78,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2022,ed_on_time_pct,74.3,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2023,avg_wait_days,22.06,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2023,ed_on_time_pct,70.0,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2024,avg_wait_days,16.09,waiting_time_state_raw,
Victoria,Male,5-11 (Primary),2024,ed_on_time_pct,73.7,waiting_time_state_raw,
Victoria,Male,12-14,2019,avg_wait_days,26.37,waiting_time_state_raw,
Victoria,Male,12-14,2019,ed_on_time_pct,71.8,waiting_time_state_raw,
Victoria,Male,12-14,2020,avg_wait_days,22.13,waiting_time_state_raw,
Victoria,Male,12-14,2020,ed_on_time_pct,75.0,waiting_time_state_raw,
Victoria,Male,12-14,2021,avg_wait_days,25.79,waiting_time_state_raw,
Victoria,Male,12-14,2021,ed_on_time_pct,70.4,waiting_time_state_raw,
Victoria,Male,12-14,2022,avg_wait_days,24.16,waiting_time_state_raw,
Victoria,Male,12-14,2022,ed_on_time_pct,74.4,waiting_time_state_raw,
Victoria,Male,12-14,2023,avg_wait_days,23.11,waiting_time_state_raw,
Victoria,Male,12-14,2023,ed_on_time_pct,69.2,waiting_time_state_raw,
Victoria,Male,12-14,2024,avg_wait_days,18.45,waiting_time_state_raw,
Victoria,Male,12-14,2024,ed_on_time_pct,69.5,waiting_time_state_raw,
Victoria,Male,15-17,2019,avg_wait_days,32.39,waiting_time_state_raw,
Victoria,Male,15-17,2019,ed_on_time_pct,70.6,waiting_time_state_raw,
Victoria,Male,15-17,2020,avg_wait_days,23.17,waiting_time_state_raw,
Victoria,Male,15-17,2020,ed_on_time_pct,72.4,waiting_time_state_raw,
Victoria,Male,15-17,2021,avg_wait_days,23.81,waiting_time_state_raw,
Victoria,Male,15-17,2021,ed_on_time_pct,70.2,waiting_time_state_raw,
Victoria,Male,15-17,2022,avg_wait_days,23.34,waiting_time_state_raw,
Victoria,Male,15-17,2022,ed_on_time_pct,72.4,waiting_time_state_raw,
Victoria,Male,15-17,2023,avg_wait_days,31.11,waiting_time_state_raw,
Victoria,Male,15-17,2023,ed_on_time_pct,71.1,waiting_time_state_raw,
Victoria,Male,15-17,2024,avg_wait_days,24.62,waiting_time_state_raw,
Victoria,Male,15-17,2024,ed_on_time_pct,69.8,waiting_time_state_raw,
Victoria,Male,18-21,2019,avg_wait_days,37.35,waiting_time_state_raw,
Victoria,Male,18-21,2019,ed_on_time_pct,77.3,waiting_time_state_raw,
Victoria,Male,18-21,2020,avg_wait_days,43.15,waiting_time_state_raw,
Victoria,Male,18-21,2020,ed_on_time_pct,71.5,waiting_time_state_raw,
Victoria,Male,18-21,2021,avg_wait_days,28.99,waiting_time_state_raw,
Victoria,Male,18-21,2021,ed_on_time_pct,75.2,waiting_time_state_raw,
Victoria,Male,18-21,2022,avg_wait_days,42.2,waiting_time_state_raw,
Victoria,Male,18-21,2022,ed_on_time_pct,71.9,waiting_time_state_raw,
Victoria,Male,18-21,2023,avg_wait_days,39.96,waiting_time_state_raw,
Victoria,Male,18-21,2023,ed_on_time_pct,74.2,waiting_time_state_raw,
Victoria,Male,18-21,2024,avg_wait_days,37.63,waiting_time_state_raw,
Victoria,Male,18-21,2024,ed_on_time_pct,73.7,waiting_time_state_raw,
Victoria,Male,22-24,2019,avg_wait_days,26.68,waiting_time_state_raw,
Victoria,Male,22-24,2019,ed_on_time_pct,72.3,waiting_time_state_raw,
Victoria,Male,22-24,2020,avg_wait_days,30.02,waiting_time_state_raw,
Victoria,Male,22-24,2020,ed_on_time_pct,70.6,waiting_time_state_raw,
Victoria,Male,22-24,2021,avg_wait_days,38.37,waiting_time_state_raw,
Victoria,Male,22-24,2021,ed_on_time_pct,69.4,waiting_time_state_raw,
Victoria,Male,22-24,2022,avg_wait_days,35.24,waiting_time_state_raw,
Victoria,Male,22-24,2022,ed_on_time_pct,69.1,waiting_time_state_raw,
Victoria,Male,22-24,2023,avg_wait_days,31.12,waiting_time_state_raw,
Victoria,Male,22-24,2023,ed_on_time_pct,71.0,waiting_time_state_raw,
Victoria,Male,22-24,2024,avg_wait_days,28.76,waiting_time_state_raw,
Victoria,Male,22-24,2024,ed_on_time_pct,71.2,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2019,avg_wait_days,18.43,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2019,ed_on_time_pct,72.7,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2020,avg_wait_days,19.9,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2020,ed_on_time_pct,70.9,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2021,avg_wait_days,15.94,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2021,ed_on_time_pct,71.7,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2022,avg_wait_days,17.3,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2022,ed_on_time_pct,70.1,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2023,avg_wait_days,21.22,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2023,ed_on_time_pct,74.0,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2024,avg_wait_days,15.32,waiting_time_state_raw,
Victoria,Female,5-11 (Primary),2024,ed_on_time_pct,70.1,waiting_time_state_raw,
Victoria,Female,12-14,2019,avg_wait_days,19.84,waiting_time_state_raw,
Victoria,Female,12-14,2019,ed_on_time_pct,73.6,waiting_time_state_raw,
Victoria,Female,12-14,2020,avg_wait_days,20.23,waiting_time_state_raw,
Victoria,Female,12-14,2020,ed_on_time_pct,73.4,waiting_time_state_raw,
Victoria,Female,12-14,2021,avg_wait_days,25.98,waiting_time_state_raw,
Victoria,Female,12-14,2021,ed_on_time_pct,71.9,waiting_time_state_raw,
Victoria,Female,12-14,2022,avg_wait_days,23.55,waiting_time_state_raw,
Victoria,Female,12-14,2022,ed_on_time_pct,72.9,waiting_time_state_raw,
Victoria,Female,12-14,2023,avg_wait_days,24.46,waiting_time_state_raw,
Victoria,Female,12-14,2023,ed_on_time_pct,68.5,waiting_time_state_raw,
Victoria,Female,12-14,2024,avg_wait_days,24.4,waiting_time_state_raw,
Victoria,Female,12-14,2024,ed_on_time_pct,74.2,waiting_time_state_raw,
Victoria,Female,15-17,2019,avg_wait_days,29.45,waiting_time_state_raw,
Victoria,Female,15-17,2019,ed_on_time_pct,72.4,waiting_time_state_raw,
Victoria,Female,15-17,2020,avg_wait_days,30.23,waiting_time_state_raw,
Victoria,Female,15-17,2020,ed_on_time_pct,75.0,waiting_time_state_raw,
Victoria,Female,15-17,2021,avg_wait_days,30.05,waiting_time_state_raw,
Victoria,Female,15-17,2021,ed_on_time_pct,70.2,waiting_time_state_raw,
Victoria,Female,15-17,2022,avg_wait_days,33.64,waiting_time_state_raw,
Victoria,Female,15-17,2022,ed_on_time_pct,75.5,waiting_time_state_raw,
Victoria,Female,15-17,2023,avg_wait_days,27.43,waiting_time_state_raw,
Victoria,Female,15-17,2023,ed_on_time_pct,72.3,waiting_time_state_raw,
Victoria,Female,15-17,2024,avg_wait_days,23.07,waiting_time_state_raw,
Victoria,Female,15-17,2024,ed_on_time_pct,74.5,waiting_time_state_raw,
Victoria,Female,18-21,2019,avg_wait_days,39.86,waiting_time_state_raw,
Victoria,Female,18-21,2019,ed_on_time_pct,75.0,waiting_time_state_raw,
Victoria,Female,18-21,2020,avg_wait_days,39.04,waiting_time_state_raw,
Victoria,Female,18-21,2020,ed_on_time_pct,71.1,waiting_time_state_raw,
Victoria,Female,18-21,2021,avg_wait_days,32.63,waiting_time_state_raw,
Victoria,Female,18-21,2021,ed_on_time_pct,71.0,waiting_time_state_raw,
Victoria,Female,18-21,2022,avg_wait_days,36.71,waiting_time_state_raw,
Victoria,Female,18-21,2022,ed_on_time_pct,69.2,waiting_time_state_raw,
Victoria,Female,18-21,2023,avg_wait_days,40.94,waiting_time_state_raw,
Victoria,Female,18-21,2023,ed_on_time_pct,71.3,waiting_time_state_raw,
Victoria,Female,18-21,2024,avg_wait_days,34.57,waiting_time_state_raw,
Victoria,Female,18-21,2024,ed_on_time_pct,68.2,waiting_time_state_raw,
Victoria,Female,22-24,2019,avg_wait_days,34.71,waiting_time_state_raw,
Victoria,Female,22-24,2019,ed_on_time_pct,76.3,waiting_time_state_raw,
Victoria,Female,22-24,2020,avg_wait_days,33.99,waiting_time_state_raw,
Victoria,Female,22-24,2020,ed_on_time_pct,71.5,waiting_time_state_raw,
Victoria,Female,22-24,2021,avg_wait_days,36.01,waiting_time_state_raw,
Victoria,Female,22-24,2021,ed_on_time_pct,70.2,waiting_time_state_raw,
Victoria,Female,22-24,2022,avg_wait_days,36.55,waiting_time_state_raw,
Victoria,Female,22-24,2022,ed_on_time_pct,72.8,waiting_time_state_raw,
Victoria,Female,22-24,2023,avg_wait_days,29.6,waiting_time_state_raw,
Victoria,Female,22-24,2023,ed_on_time_pct,71.7,waiting_time_state_raw,
Victoria,Female,22-24,2024,avg_wait_days,33.99,waiting_time_state_raw,
Victoria,Female,22-24,2024,ed_on_time_pct,69.3,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2019,avg_wait_days,21.73,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2019,ed_on_time_pct,73.4,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2020,avg_wait_days,22.07,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2020,ed_on_time_pct,75.9,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2021,avg_wait_days,16.02,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2021,ed_on_time_pct,73.9,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2022,avg_wait_days,17.63,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2022,ed_on_time_pct,74.0,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2023,avg_wait_days,19.41,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2023,ed_on_time_pct,71.3,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2024,avg_wait_days,22.1,waiting_time_state_raw,
Queensland,Male,5-11 (Primary),2024,ed_on_time_pct,67.9,waiting_time_state_raw,
Queensland,Male,12-14,2019,avg_wait_days,23.85,waiting_time_state_raw,
Queensland,Male,12-14,2019,ed_on_time_pct,72.7,waiting_time_state_raw,
Queensland,Male,12-14,2020,avg_wait_days,18.99,waiting_time_state_raw,
Queensland,Male,12-14,2020,ed_on_time_pct,75.3,waiting_time_state_raw,
Queensland,Male,12-14,2021,avg_wait_days,23.9,waiting_time_state_raw,
Queensland,Male,12-14,2021,ed_on_time_pct,75.7,waiting_time_state_raw,
Queensland,Male,12-14,2022,avg_wait_days,24.24,waiting_time_state_raw,
Queensland,Male,12-14,2022,ed_on_time_pct,71.0,waiting_time_state_raw,
Queensland,Male,12-14,2023,avg_wait_days,27.85,waiting_time_state_raw,
Queensland,Male,12-14,2023,ed_on_time_pct,68.8,waiting_time_state_raw,
Queensland,Male,12-14,2024,avg_wait_days,19.15,waiting_time_state_raw,
Queensland,Male,12-14,2024,ed_on_time_pct,72.7,waiting_time_state_raw,
Queensland,Male,15-17,2019,avg_wait_days,28.15,waiting_time_state_raw,
Queensland,Male,15-17,2019,ed_on_time_pct,73.0,waiting_time_state_raw,
Queensland,Male,15-17,2020,avg_wait_days,34.15,waiting_time_state_raw,
Queensland,Male,15-17,2020,ed_on_time_pct,72.1,waiting_time_state_raw,
Queensland,Male,15-17,2021,avg_wait_days,34.3,waiting_time_state_raw,
Queensland,Male,15-17,2021,ed_on_time_pct,73.8,waiting_time_state_raw,
Queensland,Male,15-17,2022,avg_wait_days,27.65,waiting_time_state_raw,
Queensland,Male,15-17,2022,ed_on_time_pct,69.0,waiting_time_state_raw,
Queensland,Male,15-17,2023,avg_wait_days,26.65,waiting_time_state_raw,
Queensland,Male,15-17,2023,ed_on_time_pct,75.0,waiting_time_state_raw,
Queensland,Male,15-17,2024,avg_wait_days,28.56,waiting_time_state_raw,
Queensland,Male,15-17,2024,ed_on_time_pct,68.6,waiting_time_state_raw,
Queensland,Male,18-21,2019,avg_wait_days,34.1,waiting_time_state_raw,
Queensland,Male,18-21,2019,ed_on_time_pct,77.0,waiting_time_state_raw,
Queensland,Male,18-21,2020,avg_wait_days,32.13,waiting_time_state_raw,
Queensland,Male,18-21,2020,ed_on_time_pct,75.4,waiting_time_state_raw,
Queensland,Male,18-21,2021,avg_wait_days,31.68,waiting_time_state_raw,
Queensland,Male,18-21,2021,ed_on_time_pct,76.2,waiting_time_state_raw,
Queensland,Male,18-21,2022,avg_wait_days,37.55,waiting_time_state_raw,
Queensland,Male,18-21,2022,ed_on_time_pct,68.9,waiting_time_state_raw,
Queensland,Male,18-21,2023,avg_wait_days,43.5,waiting_time_state_raw,
Queensland,Male,18-21,2023,ed_on_time_pct,70.6,waiting_time_state_raw,
Queensland,Male,18-21,2024,avg_wait_days,40.53,waiting_time_state_raw,
Queensland,Male,18-21,2024,ed_on_time_pct,71.2,waiting_time_state_raw,
Queensland,Male,22-24,2019,avg_wait_days,28.39,waiting_time_state_raw,
Queensland,Male,22-24,2019,ed_on_time_pct,71.1,waiting_time_state_raw,
Queensland,Male,22-24,2020,avg_wait_days,29.16,waiting_time_state_raw,
Queensland,Male,22-24,2020,ed_on_time_pct,70.9,waiting_time_state_raw,
Queensland,Male,22-24,2021,avg_wait_days,27.85,waiting_time_state_raw,
Queensland,Male,22-24,2021,ed_on_time_pct,69.5,waiting_time_state_raw,
Queensland,Male,22-24,2022,avg_wait_days,40.0,waiting_time_state_raw,
Queensland,Male,22-24,2022,ed_on_time_pct,69.2,waiting_time_state_raw,
Queensland,Male,22-24,2023,avg_wait_days,34.03,waiting_time_state_raw,
Queensland,Male,22-24,2023,ed_on_time_pct,68.9,waiting_time_state_raw,
Queensland,Male,22-24,2024,avg_wait_days,30.05,waiting_time_state_raw,
Queensland,Male,22-24,2024,ed_on_time_pct,72.9,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2019,avg_wait_days,22.0,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2019,ed_on_time_pct,73.8,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2020,avg_wait_days,15.02,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2020,ed_on_time_pct,77.1,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2021,avg_wait_days,15.33,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2021,ed_on_time_pct,72.0,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2022,avg_wait_days,19.01,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2022,ed_on_time_pct,75.0,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2023,avg_wait_days,21.14,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2023,ed_on_time_pct,72.4,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2024,avg_wait_days,17.96,waiting_time_state_raw,
Queensland,Female,5-11 (Primary),2024,ed_on_time_pct,73.4,waiting_time_state_raw,
Queensland,Female,12-14,2019,avg_wait_days,26.26,waiting_time_state_raw,
Queensland,Female,12-14,2019,ed_on_time_pct,76.8,waiting_time_state_raw,
Queensland,Female,12-14,2020,avg_wait_days,24.87,waiting_time_state_raw,
Queensland,Female,12-14,2020,ed_on_time_pct,70.5,waiting_time_state_raw,
Queensland,Female,12-14,2021,avg_wait_days,21.04,waiting_time_state_raw,
Queensland,Female,12-14,2021,ed_on_time_pct,72.7,waiting_time_state_raw,
Queensland,Female,12-14,2022,avg_wait_days,22.93,waiting_time_state_raw,
Queensland,Female,12-14,2022,ed_on_time_pct,74.6,waiting_time_state_raw,
Queensland,Female,12-14,2023,avg_wait_days,20.48,waiting_time_state_raw,
Queensland,Female,12-14,2023,ed_on_time_pct,72.8,waiting_time_state_raw,
Queensland,Female,12-14,2024,avg_wait_days,21.73,waiting_time_state_raw,
Queensland,Female,12-14,2024,ed_on_time_pct,73.0,waiting_time_state_raw,
Queensland,Female,15-17,2019,avg_wait_days,25.58,waiting_time_state_raw,
Queensland,Female,15-17,2019,ed_on_time_pct,73.8,waiting_time_state_raw,
Queensland,Female,15-17,2020,avg_wait_days,24.5,waiting_time_state_raw,
Queensland,Female,15-17,2020,ed_on_time_pct,71.3,waiting_time_state_raw,
Queensland,Female,15-17,2021,avg_wait_days,34.19,waiting_time_state_raw,
Queensland,Female,15-17,2021,ed_on_time_pct,71.5,waiting_time_state_raw,
Queensland,Female,15-17,2022,avg_wait_days,33.7,waiting_time_state_raw,
Queensland,Female,15-17,2022,ed_on_time_pct,72.4,waiting_time_state_raw,
Queensland,Female,15-17,2023,avg_wait_days,23.75,waiting_time_state_raw,
Queensland,Female,15-17,2023,ed_on_time_pct,73.7,waiting_time_state_raw,
Queensland,Female,15-17,2024,avg_wait_days,23.9,waiting_time_state_raw,
Queensland,Female,15-17,2024,ed_on_time_pct,73.3,waiting_time_state_raw,
