state,sex,age_band,year,metric,value
Queensland,Female,22-24,2023,medication_rate_per_1k,175.94
Queensland,Female,22-24,2024,medication_rate_per_1k,193.53
South Australia,Male,5-11 (Primary),2019,medication_rate_per_1k,106.23
South Australia,Male,5-11 (Primary),2020,medication_rate_per_1k,112.38
South Australia,Male,5-11 (Primary),2021,medication_rate_per_1k,128.12
South Australia,Male,5-11 (Primary),2022,medication_rate_per_1k,97.05
South Australia,Male,5-11 (Primary),2023,medication_rate_per_1k,149.3
South Australia,Male,5-11 (Primary),2024,medication_rate_per_1k,129.6
South Australia,Male,12-14,2019,medication_rate_per_1k,138.41
South Australia,Male,12-14,2020,medication_rate_per_1k,132.32
South Australia,Male,12-14,2021,medication_rate_per_1k,127.31
South Australia,Male,12-14,2022,medication_rate_per_1k,107.6
South Australia,Male,12-14,2023,medication_rate_per_1k,101.95
South Australia,Male,12-14,2024,medication_rate_per_1k,111.41
South Australia,Male,15-17,2019,medication_rate_per_1k,102.39
South Australia,Male,15-17,2020,medication_rate_per_1k,142.28
South Australia,Male,15-17,2021,medication_rate_per_1k,112.61
South Australia,Male,15-17,2022,medication_rate_per_1k,162.21
South Australia,Male,15-17,2023,medication_rate_per_1k,107.83
South Australia,Male,15-17,2024,medication_rate_per_1k,121.94
South Australia,Male,18-21,2019,medication_rate_per_1k,166.32
South Australia,Male,18-21,2020,medication_rate_per_1k,149.56
South Australia,Male,18-21,2021,medication_rate_per_1k,134.94
South Australia,Male,18-21,2022,medication_rate_per_1k,157.32
South Australia,Male,18-21,2023,medication_rate_per_1k,134.01
South Australia,Male,18-21,2024,medication_rate_per_1k,116.79
South Australia,Male,22-24,2019,medication_rate_per_1k,183.5
South Australia,Male,22-24,2020,medication_rate_per_1k,175.55
South Australia,Male,22-24,2021,medication_rate_per_1k,165.61
South Australia,Male,22-24,2022,medication_rate_per_1k,131.77
South Australia,Male,22-24,2023,medication_rate_per_1k,148.52
South Australia,Male,22-24,2024,medication_rate_per_1k,117.5
South Australia,Female,5-11 (Primary),2019,medication_rate_per_1k,99.98
South Australia,Female,5-11 (Primary),2020,medication_rate_per_1k,158.99
South Australia,Female,5-11 (Primary),2021,medication_rate_per_1k,124.67
South Australia,Female,5-11 (Primary),2022,medication_rate_per_1k,111.7
South Australia,Female,5-11 (Primary),2023,medication_rate_per_1k,148.78
South Australia,Female,5-11 (Primary),2024,medication_rate_per_1k,131.69
South Australia,Female,12-14,2019,medication_rate_per_1k,148.07
South Australia,Female,12-14,2020,medication_rate_per_1k,110.17
South Australia,Female,12-14,2021,medication_rate_per_1k,133.27
South Australia,Female,12-14,2022,medication_rate_per_1k,130.71
South Australia,Female,12-14,2023,medication_rate_per_1k,122.91
South Australia,Female,12-14,2024,medication_rate_per_1k,114.96
South Australia,Female,15-17,2019,medication_rate_per_1k,170.9
South Australia,Female,15-17,2020,medication_rate_per_1k,161.45
South Australia,Female,15-17,2021,medication_rate_per_1k,148.58
South Australia,Female,15-17,2022,medication_rate_per_1k,127.66
South Australia,Female,15-17,2023,medication_rate_per_1k,153.67
South Australia,Female,15-17,2024,medication_rate_per_1k,137.58
South Australia,Female,18-21,2019,medication_rate_per_1k,113.41
South Australia,Female,18-21,2020,medication_rate_per_1k,160.25
South Australia,Female,18-21,2021,medication_rate_per_1k,163.52
South Australia,Female,18-21,2022,medication_rate_per_1k,185.91
South Australia,Female,18-21,2023,medication_rate_per_1k,175.62
South Australia,Female,18-21,2024,medication_rate_per_1k,119.2
South Australia,Female,22-24,2019,medication_rate_per_1k,143.51
South Australia,Female,22-24,2020,medication_rate_per_1k,121.96
South Australia,Female,22-24,2021,medication_rate_per_1k,123.88
South Australia,Female,22-24,2022,medication_rate_per_1k,155.24
South Australia,Female,22-24,2023,medication_rate_per_1k,135.0
South Australia,Female,22-24,2024,medication_rate_per_1k,123.3
Western Australia,Male,5-11 (Primary),2019,medication_rate_per_1k,127.63
Western Australia,Male,5-11 (Primary),2020,medication_rate_per_1k,145.29
Western Australia,Male,5-11 (Primary),2021,medication_rate_per_1k,139.51
Western Australia,Male,5-11 (Primary),2022,medication_rate_per_1k,93.21
Western Australia,Male,5-11 (Primary),2023,medication_rate_per_1k,107.86
Western Australia,Male,5-11 (Primary),2024,medication_rate_per_1k,92.27
Western Australia,Male,12-14,2019,medication_rate_per_1k,121.96
Western Australia,Male,12-14,2020,medication_rate_per_1k,154.67
Western Australia,Male,12-14,2021,medication_rate_per_1k,107.49
Western Australia,Male,12-14,2022,medication_rate_per_1k,141.64
Western Australia,Male,12-14,2023,medication_rate_per_1k,126.72
Western Australia,Male,12-14,2024,medication_rate_per_1k,128.25
Western Australia,Male,15-17,2019,medication_rate_per_1k,156.32
Western Australia,Male,15-17,2020,medication_rate_per_1k,121.34
Western Australia,Male,15-17,2021,medication_rate_per_1k,122.28
Western Australia,Male,15-17,2022,medication_rate_per_1k,149.94
Western Australia,Male,15-17,2023,medication_rate_per_1k,109.91
Western Australia,Male,15-17,2024,medication_rate_per_1k,107.67
Western Australia,Male,18-21,2019,medication_rate_per_1k,134.67
Western Australia,Male,18-21,2020,medication_rate_per_1k,133.52
Western Australia,Male,18-21,2021,medication_rate_per_1k,127.07
Western Australia,Male,18-21,2022,medication_rate_per_1k,123.64
Western Australia,Male,18-21,2023,medication_rate_per_1k,167.82
Western Australia,Male,18-21,2024,medication_rate_per_1k,134.64
Western Australia,Male,22-24,2019,medication_rate_per_1k,133.86
Western Australia,Male,22-24,2020,medication_rate_per_1k,169.23
Western Australia,Male,22-24,2021,medication_rate_per_1k,173.6
Western Australia,Male,22-24,2022,medication_rate_per_1k,162.87
Western Australia,Male,22-24,2023,medication_rate_per_1k,182.35
Western Australia,Male,22-24,2024,medication_rate_per_1k,120.09
Western Australia,Female,5-11 (Primary),2019,medication_rate_per_1k,126.6
Western Australia,Female,5-11 (Primary),2020,medication_rate_per_1k,150.22
Western Australia,Female,5-11 (Primary),2021,medication_rate_per_1k,160.82
Western Australia,Female,5-11 (Primary),2022,medication_rate_per_1k,110.38
Western Australia,Female,5-11 (Primary),2023,medication_rate_per_1k,145.84
Western Australia,Female,5-11 (Primary),2024,medication_rate_per_1k,111.24
Western Australia,Female,12-14,2019,medication_rate_per_1k,129.99
Western Australia,Female,12-14,2020,medication_rate_per_1k,154.2
Western Australia,Female,12-14,2021,medication_rate_per_1k,155.51
Western Australia,Female,12-14,2022,medication_rate_per_1k,106.68
Western Australia,Female,12-14,2023,medication_rate_per_1k,120.25
Western Australia,Female,12-14,2024,medication_rate_per_1k,168.72
Western Australia,Female,15-17,2019,medication_rate_per_1k,148.95
Western Australia,Female,15-17,2020,medication_rate_per_1k,149.64
Western Australia,Female,15-17,2021,medication_rate_per_1k,126.4
Western Australia,Female,15-17,2022,medication_rate_per_1k,140.45
Western Australia,Female,15-17,2023,medication_rate_per_1k,127.52
Western Australia,Female,15-17,2024,medication_rate_per_1k,117.9
Western Australia,Female,18-21,2019,medication_rate_per_1k,134.76
Western Australia,Female,18-21,2020,medication_rate_per_1k,155.34
Western Australia,Female,18-21,2021,medication_rate_per_1k,152.78
Western Australia,Female,18-21,2022,medication_rate_per_1k,152.85
Western Australia,Female,18-21,2023,medication_rate_per_1k,139.22
Western Australia,Female,18-21,2024,medication_rate_per_1k,146.17
Western Australia,Female,22-24,2019,medication_rate_per_1k,187.52
Western Australia,Female,22-24,2020,medication_rate_per_1k,191.18
Western Australia,Female,22-24,2021,medication_rate_per_1k,189.4
Western Australia,Female,22-24,2022,medication_rate_per_1k,137.07
Western Australia,Female,22-24,2023,medication_rate_per_1k,168.65
Western Australia,Female,22-24,2024,medication_rate_per_1k,179.15
Tasmania,Male,5-11 (Primary),2019,medication_rate_per_1k,109.66
Tasmania,Male,5-11 (Primary),2020,medication_rate_per_1k,118.63
Tasmania,Male,5-11 (Primary),2021,medication_rate_per_1k,141.38
Tasmania,Male,5-11 (Primary),2022,medication_rate_per_1k,132.19
Tasmania,Male,5-11 (Primary),2023,medication_rate_per_1k,133.57
Tasmania,Male,5-11 (Primary),2024,medication_rate_per_1k,94.79
Tasmania,Male,12-14,2019,medication_rate_per_1k,98.6
Tasmania,Male,12-14,2020,medication_rate_per_1k,139.03
Tasmania,Male,12-14,2021,medication_rate_per_1k,131.62
Tasmania,Male,12-14,2022,medication_rate_per_1k,106.11
Tasmania,Male,12-14,2023,medication_rate_per_1k,95.53
Tasmania,Male,12-14,2024,medication_rate_per_1k,110.2
Tasmania,Male,15-17,2019,medication_rate_per_1k,142.23
Tasmania,Male,15-17,2020,medication_rate_per_1k,124.78
Tasmania,Male,15-17,2021,medication_rate_per_1k,144.08
Tasmania,Male,15-17,2022,medication_rate_per_1k,110.76
Tasmania,Male,15-17,2023,medication_rate_per_1k,143.95
Tasmania,Male,15-17,2024,medication_rate_per_1k,107.98
Tasmania,Male,18-21,2019,medication_rate_per_1k,168.9
Tasmania,Male,18-21,2020,medication_rate_per_1k,123.81
Tasmania,Male,18-21,2021,medication_rate_per_1k,106.07
Tasmania,Male,18-21,2022,medication_rate_per_1k,162.22
Tasmania,Male,18-21,2023,medication_rate_per_1k,128.37
Tasmania,Male,18-21,2024,medication_rate_per_1k,134.6
Tasmania,Male,22-24,2019,medication_rate_per_1k,121.68
Tasmania,Male,22-24,2020,medication_rate_per_1k,126.05
Tasmania,Male,22-24,2021,medication_rate_per_1k,140.52
Tasmania,Male,22-24,2022,medication_rate_per_1k,132.56
Tasmania,Male,22-24,2023,medication_rate_per_1k,148.4
Tasmania,Male,22-24,2024,medication_rate_per_1k,130.77
Tasmania,Female,5-11 (Primary),2019,medication_rate_per_1k,125.91
Tasmania,Female,5-11 (Primary),2020,medication_rate_per_1k,99.39
Tasmania,Female,5-11 (Primary),2021,medication_rate_per_1k,130.22
Tasmania,Female,5-11 (Primary),2022,medication_rate_per_1k,136.56
Tasmania,Female,5-11 (Primary),2023,medication_rate_per_1k,155.9
Tasmania,Female,5-11 (Primary),2024,medication_rate_per_1k,144.01
Tasmania,Female,12-14,2019,medication_rate_per_1k,108.14
Tasmania,Female,12-14,2020,medication_rate_per_1k,127.73
Tasmania,Female,12-14,2021,medication_rate_per_1k,154.76
Tasmania,Female,12-14,2022,medication_rate_per_1k,151.95
Tasmania,Female,12-14,2023,medication_rate_per_1k,106.41
Tasmania,Female,12-14,2024,medication_rate_per_1k,104.68
Tasmania,Female,15-17,2019,medication_rate_per_1k,143.7
Tasmania,Female,15-17,2020,medication_rate_per_1k,140.22
Tasmania,Female,15-17,2021,medication_rate_per_1k,117.88
Tasmania,Female,15-17,2022,medication_rate_per_1k,127.07
Tasmania,Female,15-17,2023,medication_rate_per_1k,133.17
Tasmania,Female,15-17,2024,medication_rate_per_1k,164.68
Tasmania,Female,18-21,2019,medication_rate_per_1k,132.83
Tasmania,Female,18-21,2020,medication_rate_per_1k,174.08
Tasmania,Female,18-21,2021,medication_rate_per_1k,176.68
Tasmania,Female,18-21,2022,medication_rate_per_1k,131.89
Tasmania,Female,18-21,2023,medication_rate_per_1k,177.64
Tasmania,Female,18-21,2024,medication_rate_per_1k,119.35
Tasmania,Female,22-24,2019,medication_rate_per_1k,148.72
Tasmania,Female,22-24,2020,medication_rate_per_1k,126.36
Tasmania,Female,22-24,2021,medication_rate_per_1k,144.03
Tasmania,Female,22-24,2022,medication_rate_per_1k,140.87
Tasmania,Female,22-24,2023,medication_rate_per_1k,178.64
Tasmania,Female,22-24,2024,medication_rate_per_1k,184.25
Northern Territory,Male,5-11 (Primary),2019,medication_rate_per_1k,110.04
Northern Territory,Male,5-11 (Primary),2020,medication_rate_per_1k,110.35
Northern Territory,Male,5-11 (Primary),2021,medication_rate_per_1k,147.88
Northern Territory,Male,5-11 (Primary),2022,medication_rate_per_1k,99.74
Northern Territory,Male,5-11 (Primary),2023,medication_rate_per_1k,118.39
Northern Territory,Male,5-11 (Primary),2024,medication_rate_per_1k,125.52
Northern Territory,Male,12-14,2019,medication_rate_per_1k,137.03
Northern Territory,Male,12-14,2020,medication_rate_per_1k,105.0
Northern Territory,Male,12-14,2021,medication_rate_per_1k,115.39
Northern Territory,Male,12-14,2022,medication_rate_per_1k,104.67
Northern Territory,Male,12-14,2023,medication_rate_per_1k,143.32
Northern Territory,Male,12-14,2024,medication_rate_per_1k,141.45
Northern Territory,Male,15-17,2019,medication_rate_per_1k,155.56
Northern Territory,Male,15-17,2020,medication_rate_per_1k,129.27
Northern Territory,Male,15-17,2021,medication_rate_per_1k,101.77
Northern Territory,Male,15-17,2022,medication_rate_per_1k,160.77
Northern Territory,Male,15-17,2023,medication_rate_per_1k,107.57
Northern Territory,Male,15-17,2024,medication_rate_per_1k,115.52
Northern Territory,Male,18-21,2019,medication_rate_per_1k,107.92
Northern Territory,Male,18-21,2020,medication_rate_per_1k,133.63
Northern Territory,Male,18-21,2021,medication_rate_per_1k,154.7
Northern Territory,Male,18-21,2022,medication_rate_per_1k,171.24
Northern Territory,Male,18-21,2023,medication_rate_per_1k,144.4
Northern Territory,Male,18-21,2024,medication_rate_per_1k,111.91
Northern Territory,Male,22-24,2019,medication_rate_per_1k,176.43
Northern Territory,Male,22-24,2020,medication_rate_per_1k,118.29
Northern Territory,Male,22-24,2021,medication_rate_per_1k,126.09
Northern Territory,Male,22-24,2022,medication_rate_per_1k,127.29
Northern Territory,Male,22-24,2023,medication_rate_per_1k,176.57
Northern Territory,Male,22-24,2024,medication_rate_per_1k,141.32
Northern Territory,Female,5-11 (Primary),2019,medication_rate_per_1k,152.32
Northern Territory,Female,5-11 (Primary),2020,medication_rate_per_1k,133.69
Northern Territory,Female,5-11 (Primary),2021,medication_rate_per_1k,128.56
Northern Territory,Female,5-11 (Primary),2022,medication_rate_per_1k,148.66
Northern Territory,Female,5-11 (Primary),2023,medication_rate_per_1k,111.21
Northern Territory,Female,5-11 (Primary),2024,medication_rate_per_1k,115.16
Northern Territory,Female,12-14,2019,medication_rate_per_1k,165.18
Northern Territory,Female,12-14,2020,medication_rate_per_1k,144.11
Northern Territory,Female,12-14,2021,medication_rate_per_1k,128.83
Northern Territory,Female,12-14,2022,medication_rate_per_1k,145.85
Northern Territory,Female,12-14,2023,medication_rate_per_1k,154.08
Northern Territory,Female,12-14,2024,medication_rate_per_1k,151.53
Northern Territory,Female,15-17,2019,medication_rate_per_1k,144.42
Northern Territory,Female,15-17,2020,medication_rate_per_1k,152.93
Northern Territory,Female,15-17,2021,medication_rate_per_1k,125.04
Northern Territory,Female,15-17,2022,medication_rate_per_1k,142.71
Northern Territory,Female,15-17,2023,medication_rate_per_1k,171.56
Northern Territory,Female,15-17,2024,medication_rate_per_1k,173.83
Northern Territory,Female,18-21,2019,medication_rate_per_1k,114.9
Northern Territory,Female,18-21,2020,medication_rate_per_1k,132.46
Northern Territory,Female,18-21,2021,medication_rate_per_1k,133.0
Northern Territory,Female,18-21,2022,medication_rate_per_1k,137.97
Northern Territory,Female,18-21,2023,medication_rate_per_1k,136.18
Northern Territory,Female,18-21,2024,medication_rate_per_1k,134.48
Northern Territory,Female,22-24,2019,medication_rate_per_1k,155.89
Northern Territory,Female,22-24,2020,medication_rate_per_1k,137.54
Northern Territory,Female,22-24,2021,medication_rate_per_1k,176.19
Northern Territory,Female,22-24,2022,medication_rate_per_1k,120.78
Northern Territory,Female,22-24,2023,medication_rate_per_1k,194.57
Northern Territory,Female,22-24,2024,medication_rate_per_1k,133.39
Australian Capital Territory,Male,5-11 (Primary),2019,medication_rate_per_1k,143.66
Australian Capital Territory,Male,5-11 (Primary),2020,medication_rate_per_1k,130.76
Australian Capital Territory,Male,5-11 (Primary),2021,medication_rate_per_1k,143.04
Australian Capital Territory,Male,5-11 (Primary),2022,medication_rate_per_1k,116.1
Australian Capital Territory,Male,5-11 (Primary),2023,medication_rate_per_1k,109.43
Australian Capital Territory,Male,5-11 (Primary),2024,medication_rate_per_1k,126.63
Australian Capital Territory,Male,12-14,2019,medication_rate_per_1k,107.66
Australian Capital Territory,Male,12-14,2020,medication_rate_per_1k,121.98
Australian Capital Territory,Male,12-14,2021,medication_rate_per_1k,129.65
Australian Capital Territory,Male,12-14,2022,medication_rate_per_1k,103.09
Australian Capital Territory,Male,12-14,2023,medication_rate_per_1k,146.14
Australian Capital Territory,Male,12-14,2024,medication_rate_per_1k,124.36
Australian Capital Territory,Male,15-17,2019,medication_rate_per_1k,136.14
Australian Capital Territory,Male,15-17,2020,medication_rate_per_1k,145.99
Australian Capital Territory,Male,15-17,2021,medication_rate_per_1k,160.69
Australian Capital Territory,Male,15-17,2022,medication_rate_per_1k,109.71
Australian Capital Territory,Male,15-17,2023,medication_rate_per_1k,113.35
