state,sex,age_band,year,sheet,metric,value
New South Wales,Male,22-24,2023,Substance use,lifetime prevalence %,7.77
New South Wales,Male,22-24,2024,Anxiety,12-month prevalence %,11.94
New South Wales,Male,22-24,2024,Anxiety,lifetime prevalence %,19.17
New South Wales,Male,22-24,2024,Depression,12-month prevalence %,8.91
New South Wales,Male,22-24,2024,Depression,lifetime prevalence %,15.02
New South Wales,Male,22-24,2024,ADHD,12-month prevalence %,8.1
New South Wales,Male,22-24,2024,ADHD,lifetime prevalence %,14.52
New South Wales,Male,22-24,2024,Substance use,12-month prevalence %,3.76
New South Wales,Male,22-24,2024,Substance use,lifetime prevalence %,6.84
New South Wales,Female,5-11 (Primary),2019,Anxiety,12-month prevalence %,6.08
New South Wales,Female,5-11 (Primary),2019,Anxiety,lifetime prevalence %,10.32
New South Wales,Female,5-11 (Primary),2019,Depression,12-month prevalence %,6.19
New South Wales,Female,5-11 (Primary),2019,Depression,lifetime prevalence %,9.59
New South Wales,Female,5-11 (Primary),2019,ADHD,12-month prevalence %,3.49
New South Wales,Female,5-11 (Primary),2019,ADHD,lifetime prevalence %,5.65
New South Wales,Female,5-11 (Primary),2019,Substance use,12-month prevalence %,1.76
New South Wales,Female,5-11 (Primary),2019,Substance use,lifetime prevalence %,4.15
New South Wales,Female,5-11 (Primary),2020,Anxiety,12-month prevalence %,7.82
New South Wales,Female,5-11 (Primary),2020,Anxiety,lifetime prevalence %,12.6
New South Wales,Female,5-11 (Primary),2020,Depression,12-month prevalence %,4.93
New South Wales,Female,5-11 (Primary),2020,Depression,lifetime prevalence %,7.95
New South Wales,Female,5-11 (Primary),2020,ADHD,12-month prevalence %,3.57
New South Wales,Female,5-11 (Primary),2020,ADHD,lifetime prevalence %,7.32
New South Wales,Female,5-11 (Primary),2020,Substance use,12-month prevalence %,2.05
New South Wales,Female,5-11 (Primary),2020,Substance use,lifetime prevalence %,1.99
New South Wales,Female,5-11 (Primary),2021,Anxiety,12-month prevalence %,5.98
New South Wales,Female,5-11 (Primary),2021,Anxiety,lifetime prevalence %,9.4
New South Wales,Female,5-11 (Primary),2021,Depression,12-month prevalence %,6.08
New South Wales,Female,5-11 (Primary),2021,Depression,lifetime prevalence %,9.34
New South Wales,Female,5-11 (Primary),2021,ADHD,12-month prevalence %,3.41
New South Wales,Female,5-11 (Primary),2021,ADHD,lifetime prevalence %,4.38
New South Wales,Female,5-11 (Primary),2021,Substance use,12-month prevalence %,1.91
New South Wales,Female,5-11 (Primary),2021,Substance use,lifetime prevalence %,3.73
New South Wales,Female,5-11 (Primary),2022,Anxiety,12-month prevalence %,7.72
New South Wales,Female,5-11 (Primary),2022,Anxiety,lifetime prevalence %,11.68
New South Wales,Female,5-11 (Primary),2022,Depression,12-month prevalence %,4.88
New South Wales,Female,5-11 (Primary),2022,Depression,lifetime prevalence %,7.49
New South Wales,Female,5-11 (Primary),2022,ADHD,12-month prevalence %,3.02
New South Wales,Female,5-11 (Primary),2022,ADHD,lifetime prevalence %,4.71
New South Wales,Female,5-11 (Primary),2022,Substance use,12-month prevalence %,2.25
New South Wales,Female,5-11 (Primary),2022,Substance use,lifetime prevalence %,2.64
New South Wales,Female,5-11 (Primary),2023,Anxiety,12-month prevalence %,6.54
New South Wales,Female,5-11 (Primary),2023,Anxiety,lifetime prevalence %,11.07
New South Wales,Female,5-11 (Primary),2023,Depression,12-month prevalence %,6.08
New South Wales,Female,5-11 (Primary),2023,Depression,lifetime prevalence %,11.15
New South Wales,Female,5-11 (Primary),2023,ADHD,12-month prevalence %,2.85
New South Wales,Female,5-11 (Primary),2023,ADHD,lifetime prevalence %,4.95
New South Wales,Female,5-11 (Primary),2023,Substance use,12-month prevalence %,2.15
New South Wales,Female,5-11 (Primary),2023,Substance use,lifetime prevalence %,3.46
New South Wales,Female,5-11 (Primary),2024,Anxiety,12-month prevalence %,8.16
New South Wales,Female,5-11 (Primary),2024,Anxiety,lifetime prevalence %,12.7
New South Wales,Female,5-11 (Primary),2024,Depression,12-month prevalence %,5.64
New South Wales,Female,5-11 (Primary),2024,Depression,lifetime prevalence %,10.24
New South Wales,Female,5-11 (Primary),2024,ADHD,12-month prevalence %,3.89
New South Wales,Female,5-11 (Primary),2024,ADHD,lifetime prevalence %,5.14
New South Wales,Female,5-11 (Primary),2024,Substance use,12-month prevalence %,2.2
New South Wales,Female,5-11 (Primary),2024,Substance use,lifetime prevalence %,3.26
New South Wales,Female,12-14,2019,Anxiety,12-month prevalence %,11.83
New South Wales,Female,12-14,2019,Anxiety,lifetime prevalence %,20.19
New South Wales,Female,12-14,2019,Depression,12-month prevalence %,9.11
New South Wales,Female,12-14,2019,Depression,lifetime prevalence %,14.48
New South Wales,Female,12-14,2019,ADHD,12-month prevalence %,5.71
New South Wales,Female,12-14,2019,ADHD,lifetime prevalence %,9.37
New South Wales,Female,12-14,2019,Substance use,12-month prevalence %,3.39
New South Wales,Female,12-14,2019,Substance use,lifetime prevalence %,5.14
New South Wales,Female,12-14,2020,Anxiety,12-month prevalence %,9.44
New South Wales,Female,12-14,2020,Anxiety,lifetime prevalence %,15.58
New South Wales,Female,12-14,2020,Depression,12-month prevalence %,8.8
New South Wales,Female,12-14,2020,Depression,lifetime prevalence %,16.22
New South Wales,Female,12-14,2020,ADHD,12-month prevalence %,4.97
New South Wales,Female,12-14,2020,ADHD,lifetime prevalence %,7.95
New South Wales,Female,12-14,2020,Substance use,12-month prevalence %,3.54
New South Wales,Female,12-14,2020,Substance use,lifetime prevalence %,6.74
New South Wales,Female,12-14,2021,Anxiety,12-month prevalence %,10.68
New South Wales,Female,12-14,2021,Anxiety,lifetime prevalence %,18.61
New South Wales,Female,12-14,2021,Depression,12-month prevalence %,7.55
New South Wales,Female,12-14,2021,Depression,lifetime prevalence %,12.83
New South Wales,Female,12-14,2021,ADHD,12-month prevalence %,4.79
New South Wales,Female,12-14,2021,ADHD,lifetime prevalence %,7.38
New South Wales,Female,12-14,2021,Substance use,12-month prevalence %,2.61
New South Wales,Female,12-14,2021,Substance use,lifetime prevalence %,3.62
New South Wales,Female,12-14,2022,Anxiety,12-month prevalence %,12.04
New South Wales,Female,12-14,2022,Anxiety,lifetime prevalence %,21.25
New South Wales,Female,12-14,2022,Depression,12-month prevalence %,8.1
New South Wales,Female,12-14,2022,Depression,lifetime prevalence %,14.91
New South Wales,Female,12-14,2022,ADHD,12-month prevalence %,4.36
New South Wales,Female,12-14,2022,ADHD,lifetime prevalence %,8.11
New South Wales,Female,12-14,2022,Substance use,12-month prevalence %,3.35
New South Wales,Female,12-14,2022,Substance use,lifetime prevalence %,4.4
New South Wales,Female,12-14,2023,Anxiety,12-month prevalence %,12.3
New South Wales,Female,12-14,2023,Anxiety,lifetime prevalence %,21.73
New South Wales,Female,12-14,2023,Depression,12-month prevalence %,8.17
New South Wales,Female,12-14,2023,Depression,lifetime prevalence %,13.87
New South Wales,Female,12-14,2023,ADHD,12-month prevalence %,5.12
New South Wales,Female,12-14,2023,ADHD,lifetime prevalence %,8.64
New South Wales,Female,12-14,2023,Substance use,12-month prevalence %,2.57
New South Wales,Female,12-14,2023,Substance use,lifetime prevalence %,4.16
New South Wales,Female,12-14,2024,Anxiety,12-month prevalence %,12.3
New South Wales,Female,12-14,2024,Anxiety,lifetime prevalence %,21.01
New South Wales,Female,12-14,2024,Depression,12-month prevalence %,7.52
New South Wales,Female,12-14,2024,Depression,lifetime prevalence %,14.01
New South Wales,Female,12-14,2024,ADHD,12-month prevalence %,4.84
New South Wales,Female,12-14,2024,ADHD,lifetime prevalence %,7.28
New South Wales,Female,12-14,2024,Substance use,12-month prevalence %,3.17
New South Wales,Female,12-14,2024,Substance use,lifetime prevalence %,4.41
New South Wales,Female,15-17,2019,Anxiety,12-month prevalence %,15.14
New South Wales,Female,15-17,2019,Anxiety,lifetime prevalence %,26.27
New South Wales,Female,15-17,2019,Depression,12-month prevalence %,9.82
New South Wales,Female,15-17,2019,Depression,lifetime prevalence %,16.14
New South Wales,Female,15-17,2019,ADHD,12-month prevalence %,6.84
New South Wales,Female,15-17,2019,ADHD,lifetime prevalence %,10.79
New South Wales,Female,15-17,2019,Substance use,12-month prevalence %,4.55
New South Wales,Female,15-17,2019,Substance use,lifetime prevalence %,8.43
New South Wales,Female,15-17,2020,Anxiety,12-month prevalence %,12.8
New South Wales,Female,15-17,2020,Anxiety,lifetime prevalence %,22.03
New South Wales,Female,15-17,2020,Depression,12-month prevalence %,11.33
New South Wales,Female,15-17,2020,Depression,lifetime prevalence %,18.88
New South Wales,Female,15-17,2020,ADHD,12-month prevalence %,7.0
New South Wales,Female,15-17,2020,ADHD,lifetime prevalence %,11.69
New South Wales,Female,15-17,2020,Substance use,12-month prevalence %,4.0
New South Wales,Female,15-17,2020,Substance use,lifetime prevalence %,6.48
New South Wales,Female,15-17,2021,Anxiety,12-month prevalence %,14.88
New South Wales,Female,15-17,2021,Anxiety,lifetime prevalence %,23.8
New South Wales,Female,15-17,2021,Depression,12-month prevalence %,11.44
New South Wales,Female,15-17,2021,Depression,lifetime prevalence %,18.31
New South Wales,Female,15-17,2021,ADHD,12-month prevalence %,5.98
New South Wales,Female,15-17,2021,ADHD,lifetime prevalence %,11.11
New South Wales,Female,15-17,2021,Substance use,12-month prevalence %,3.68
New South Wales,Female,15-17,2021,Substance use,lifetime prevalence %,6.62
New South Wales,Female,15-17,2022,Anxiety,12-month prevalence %,13.2
New South Wales,Female,15-17,2022,Anxiety,lifetime prevalence %,23.93
New South Wales,Female,15-17,2022,Depression,12-month prevalence %,12.96
New South Wales,Female,15-17,2022,Depression,lifetime prevalence %,21.53
New South Wales,Female,15-17,2022,ADHD,12-month prevalence %,7.61
New South Wales,Female,15-17,2022,ADHD,lifetime prevalence %,14.17
New South Wales,Female,15-17,2022,Substance use,12-month prevalence %,3.65
New South Wales,Female,15-17,2022,Substance use,lifetime prevalence %,5.83
New South Wales,Female,15-17,2023,Anxiety,12-month prevalence %,12.86
New South Wales,Female,15-17,2023,Anxiety,lifetime prevalence %,21.05
New South Wales,Female,15-17,2023,Depression,12-month prevalence %,11.14
New South Wales,Female,15-17,2023,Depression,lifetime prevalence %,18.94
New South Wales,Female,15-17,2023,ADHD,12-month prevalence %,6.51
New South Wales,Female,15-17,2023,ADHD,lifetime prevalence %,10.16
New South Wales,Female,15-17,2023,Substance use,12-month prevalence %,4.13
New South Wales,Female,15-17,2023,Substance use,lifetime prevalence %,8.36
New South Wales,Female,15-17,2024,Anxiety,12-month prevalence %,13.76
New South Wales,Female,15-17,2024,Anxiety,lifetime prevalence %,23.95
New South Wales,Female,15-17,2024,Depression,12-month prevalence %,9.97
New South Wales,Female,15-17,2024,Depression,lifetime prevalence %,17.71
New South Wales,Female,15-17,2024,ADHD,12-month prevalence %,6.81
New South Wales,Female,15-17,2024,ADHD,lifetime prevalence %,12.83
New South Wales,Female,15-17,2024,Substance use,12-month prevalence %,3.46
New South Wales,Female,15-17,2024,Substance use,lifetime prevalence %,6.35
New South Wales,Female,18-21,2019,Anxiety,12-month prevalence %,15.25
New South Wales,Female,18-21,2019,Anxiety,lifetime prevalence %,25.53
New South Wales,Female,18-21,2019,Depression,12-month prevalence %,11.24
New South Wales,Female,18-21,2019,Depression,lifetime prevalence %,20.32
New South Wales,Female,18-21,2019,ADHD,12-month prevalence %,6.54
New South Wales,Female,18-21,2019,ADHD,lifetime prevalence %,11.51
